id,method,comparison_type,venue,priority,access,auxiliary,cost,adaptation,control,code_status,code_commit,replay_status,source_url,local_pdf,review_file
A08,DIME,attack,arXiv 2026-08,forward-access main comparison,denoiser forward,known members/nonmembers for calibration in reported setup,2 forward queries as defined by authors,,"same calibration labels; bias/crowding features; preprint, not main-conference certified",not_acquired,,not_reproduced,https://arxiv.org/abs/2608.22824,pdfs/A08.pdf,reviews/A08.md
A09,Quantile-regression MIA,attack,ICML 2024,calibration baseline,denoiser / SecMI features,public nonmember training data,attack feature extraction plus quantile regression fitting,,per-example quantile is not automatically a finite-sample patient guarantee,not_acquired,,not_reproduced,https://proceedings.mlr.press/v235/tang24g.html,pdfs/A09.pdf,reviews/A09.md
A10,PIA / PIAN,attack,ICLR 2024,low-cost control,denoiser forward,threshold calibration,2 forward queries,,report PIA and PIAN separately; normalization can hurt SD,not_acquired,,not_reproduced,https://proceedings.iclr.cc/paper_files/paper/2024/file/ff73af253974e6144c4eddf896d3095a-Paper-Conference.pdf,pdfs/A10.pdf,reviews/A10.md
A11,SecMI-stat / SecMI-NN,attack,ICML 2023,historical strong control,denoiser forward,NN requires labeled auxiliary samples,paper stat configuration about 12 NFE,,stat and learned classifier need separate information budgets,not_acquired,,not_reproduced,https://proceedings.mlr.press/v202/duan23b.html,pdfs/A11.pdf,reviews/A11.md
A12,CLiD-th / CLiD-vector,attack,NeurIPS 2024,conditional-model main comparison,conditional and unconditional denoiser,caption variants; shadow scores for th weight,configuration-dependent; paper economical setting around 15 queries,,same caption knowledge; member-positive ROC; supplied score replay completed,official_supplement_text_extracted_not_executed,,public_packet_only,https://proceedings.neurips.cc/paper_files/paper/2024/hash/874411a224a1934b80d499068384808b-Abstract-Conference.html,pdfs/A12.pdf,reviews/A12.md
A13,ReDiffuse,attack,ICML 2025,required if variation API claim,image variation API,labeled score-training subset in learned attack,"multiple complete image variations, not equal to denoiser NFE",,cannot substitute for text-only API access,not_acquired,,not_reproduced,https://proceedings.mlr.press/v267/li25k.html,pdfs/A13.pdf,reviews/A13.md
X01,CDI,attack,CVPR 2025,mandatory set-inference contribution comparison,gray-box or white-box by feature family,held-out reference set and split scoring fit,depends on selected loss/gradient/noise-optimization features,,"match set size, member fraction, independent reference and repeated-null FPR",source_downloaded_not_executed,dcd62258b0b3fde05d52aaecfade3b5f4c09507a,not_reproduced,https://openaccess.thecvf.com/content/CVPR2025/html/Dubinski_CDI_Copyrighted_Data_Identification_in_Diffusion_Models_CVPR_2025_paper.html,pdfs/X01.pdf,reviews/X01.md
X02,Tracing the Roots,attack,NeurIPS 2025,white-box main comparison,model gradients,labeled train packet / shadow-equivalent calibration,loss plus gradient features across timesteps,,full features versus reduced timestep subset; public linear probe replay completed,official_supplement_text_extracted_not_executed,,public_packet_only,https://proceedings.neurips.cc/paper_files/paper/2025/hash/901b713c3d1ecfce0d4556752eed4e02-Abstract-Conference.html,pdfs/X02.pdf,reviews/X02.md
X03,GSA1 / GSA2,attack,PoPETs 2025,white-box control,model gradients,shadow/auxiliary labeled gradient data,timestep aggregation and backward passes,,norm of mean gradient differs from mean of gradient norms; LoRA modules fixed,source_downloaded_not_executed,494ce8c1a304afbb97abae59b42c65b6c5d932c2,not_reproduced,https://www.petsymposium.org/popets/2025/popets-2025-0068.pdf,pdfs/X03.pdf,reviews/X03.md
X04,SD-MIA,attack,CVPR 2026,mandatory if output-only or small-set claim,text-to-image output API,text variants plus image/text encoders,"several prompt variants, multiple full images per variant",,10/30-image sets already evaluated; compare patient bags and query budget,not_acquired,,not_reproduced,https://openaccess.thecvf.com/content/CVPR2026/html/Qi_Black-box_Membership_Inference_Attacks_on_the_Pre-training_Data_of_Image-generation_CVPR_2026_paper.html,pdfs/X04.pdf,reviews/X04.md
