id,title,alias,venue,role,role_label,review_status,review_status_label,reading_scope,source_url,pdf_url,local_pdf,legacy35,new,main_venue,review_file,memo_sha256,code_status,code_commit,replay_status,whole_paper_read_claim,full_experiment_reproduced
A01,Disparate privacy risks from medical AI,Knolle / Disparate privacy risks,Nature 2026,medical,의료·identity·복제·방어,selected,PDF 선택 절 검토,"검토: PDF pp.2–3, 5의 논의 시작, 8·10의 방법 일부. 생성모델 실험 재현은 하지 않았다.",https://www.nature.com/articles/s41586-026-10688-0,https://www.nature.com/articles/s41586-026-10688-0.pdf,pdfs/A01.pdf,True,False,False,reviews/A01.md,b9c7c8fe4c95d0c199e93a637ef512941b3c533e79d9d6fc2de56965fdba46a0,not_acquired,,not_reproduced,False,False
A02,Unconditional latent diffusion models memorize patient imaging data,Dar / Medical LDM memorization,Nature Biomedical Engineering 2025,medical,의료·identity·복제·방어,selected,PDF 선택 절 검토,"생성 다양성·품질이 좋아도 copy 위험은 남을 수 있다는 핵심 의료 선행이다. 환자별 여러 사진에서 드러나는 membership와 복제 검사, 자연적인 동일인 유사도를 분리해야 한다. 검토: 공개 preprint pp.3–5, 16–17의 방법·결과 발췌. Nature 최종 PDF는 확보하지 못해 54쪽 저자 공개본으로 대체했으며 두 버전의 일치를 검증하지 않았다. [공개본](https://arxiv.org/abs/2402.01054), [최종 논문](https://www.nature.com/articles/s41551-025-01468-8)
",https://www.nature.com/articles/s41551-025-01468-8,https://www.nature.com/articles/s41551-025-01468-8.pdf,pdfs/A02.pdf,True,False,False,reviews/A02.md,fd7c1daace472e33af1792ea6e2bdb6f8642ddc55498d8e025d8e1292f54e6eb,not_acquired,,not_reproduced,False,False
A03,"CheXGenBench: A Unified Benchmark For Fidelity, Privacy and Utility of Synthetic Chest Radiographs",CheXGenBench,TMLR 2026 / arXiv 공개본,medical,의료·identity·복제·방어,selected,PDF 선택 절 검토,"검토: PDF pp.5–7, 9, 방법 §2.3–2.4 및 Table 3. TMLR 2026 공개본. 코드 실행 없음.",https://arxiv.org/abs/2505.10496,https://arxiv.org/pdf/2505.10496,pdfs/A03.pdf,True,False,False,reviews/A03.md,950686470a99442d76e37ebab3ffa780f2cae5928c959944f8d8561853ba2bbc,not_acquired,,not_reproduced,False,False
A04,Auditing Patient Privacy in Medical Generative Models: Scalable Memorization Detection with DeepSSIM++,DeepSSIM++,arXiv 2026-09,medical,의료·identity·복제·방어,selected,PDF 선택 절 검토,"검토: PDF pp.6–8, 11, 13. 2026-09 preprint; 메인 학회 SOTA로 표기하지 않는다.",https://arxiv.org/abs/2609.03615,https://arxiv.org/pdf/2609.03615,pdfs/A04.pdf,True,False,False,reviews/A04.md,8bbd45be2206479cdd9f25907d031314237954395141273b65f5484c6f9c835b,not_acquired,,not_reproduced,False,False
A05,Membership Inference or Data Split Bias? Identifying False Positives in Synthetic Medical Image Privacy Audits,Medical MIA split bias,MIE / Studies in Health Technology and Informatics 2026,medical,의료·identity·복제·방어,selected,PDF 선택 절 검토,"검토: PDF pp.2–5, 방법·Table 1. MIE 2026 논문; 재현 없음.",https://journals.sagepub.com/doi/10.3233/SHTI260258,https://pure-oai.bham.ac.uk/ws/portalfiles/portal/304478106/BaiL2026Membership.pdf,pdfs/A05.pdf,True,False,False,reviews/A05.md,2c62d3e0f98f4c6aa1e46ac9dac0ce699d4a8ad80ed67866e9e2988a49cbb787,not_acquired,,not_reproduced,False,False
A06,FACE-AUDITOR: Data Auditing in Facial Recognition Systems,FACE-AUDITOR,USENIX Security 2023,medical,의료·identity·복제·방어,selected,PDF 선택 절 검토,"검토: PDF pp.5–8, 10, 위협모델·알고리즘·실험 조건과 결과 서술. USENIX Security 2023.",https://www.usenix.org/conference/usenixsecurity23/presentation/chen-min,https://www.usenix.org/system/files/usenixsecurity23-chen-min.pdf,pdfs/A06.pdf,True,False,True,reviews/A06.md,f5820ab8cf5964571d6aae8ced73657762ffda04c08ff81f5ac688e1b5b38e26,not_acquired,,not_reproduced,False,False
A07,User-Level Membership Inference Attack against Metric Embedding Learning,User-level embedding MIA,ICLR 2022 PAIR²Struct workshop,medical,의료·identity·복제·방어,selected,PDF 선택 절 검토,"검토: PDF pp.3–5, 방법·Tables 1–3. ICLR 2022 PAIR²Struct 워크숍.",https://iclr.cc/virtual/2022/7498,https://arxiv.org/pdf/2203.02077,pdfs/A07.pdf,True,False,False,reviews/A07.md,095efadcd39c03b003e3c4b86dff3a028d3fc5580d421722d4c4d84e84d24750,not_acquired,,not_reproduced,False,False
A08,DIME: Query-Efficient Framework for Membership Inference on Diffusion Models,DIME,arXiv 2026-08,attack,공격 비교 후보,selected,PDF 선택 절 검토,"검토: 본문 pp.4, 7–9, 11–13; 2026-08 preprint. 실행 없음.",https://arxiv.org/abs/2608.22824,https://arxiv.org/pdf/2608.22824,pdfs/A08.pdf,True,False,False,reviews/A08.md,e7736a6f2fee3d51c3ff8d6e2aa01d10eb684108ca7bc9bdabe8469b4ae9502e,not_acquired,,not_reproduced,False,False
A09,Membership Inference Attacks on Diffusion Models via Quantile Regression,Quantile-regression MIA,ICML 2024,attack,공격 비교 후보,selected,PDF 선택 절 검토,"검토: 본문 pp.2–8, 부록 p.11. 논문 수식·실험 검토, 코드 재현 미완료. [공식 PDF](https://raw.githubusercontent.com/mlresearch/v235/main/assets/tang24g/tang24g.pdf)
",https://proceedings.mlr.press/v235/tang24g.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/tang24g/tang24g.pdf,pdfs/A09.pdf,True,False,True,reviews/A09.md,d917250c585efe60bccab2f95817aa30af4eb0faf1c4a383f9afc3a391179ffd,not_acquired,,not_reproduced,False,False
A10,An Efficient Membership Inference Attack for the Diffusion Model by Proximal Initialization,PIA / PIAN,ICLR 2024,attack,공격 비교 후보,selected,PDF 선택 절 검토,검토: pp.4–6 방법·Tables 2–3. 해당 범위의 방법·결과 대조이며 전 페이지 정독/모델 실행은 아니다.,https://proceedings.iclr.cc/paper_files/paper/2024/file/ff73af253974e6144c4eddf896d3095a-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2024/file/ff73af253974e6144c4eddf896d3095a-Paper-Conference.pdf,pdfs/A10.pdf,True,False,True,reviews/A10.md,ed69ba8cf2a550f50c14917a27f6946aaadd2eaad2934b21d17dac9bc2be251c,not_acquired,,not_reproduced,False,False
