id,priority,latest18,cvpr_relation,group_label,alias,title,venue,role,source_url,pdf_url,link_status,historical_locations,metadata_note
A01,1,True,핵심 주장·방법 대조,환자 위험·의료 생성 감사·공격·재식별,Knolle / Disparate privacy risks,Disparate privacy risks from medical AI,Nature 2026,평균 공격성능 뒤에 숨는 환자별 극단 위험. 환자 tail 발견 자체의 선행 경계.,https://www.nature.com/articles/s41586-026-10688-0,https://www.nature.com/articles/s41586-026-10688-0.pdf,PDF 응답 확인,03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:162; 04_관련근접연구_claim_matrix_2026-09-02.md:234; 16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:95; 17_탈옥트렌드_팩트검증과_현1순위_신규성경계_2026-09-08.md:114; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:360,
A02,12,True,직접 방법·평가 비교군,환자 위험·의료 생성 감사·공격·재식별,Dar / Medical LDM memorization,Unconditional latent diffusion models memorize patient imaging data,Nature Biomedical Engineering 2025,의료 LDM의 환자 영상 암기·복제. 실제 노출 동기와 탐지기 비교.,https://www.nature.com/articles/s41551-025-01468-8,https://www.nature.com/articles/s41551-025-01468-8.pdf,브라우저 확인 필요,01_독립_논문_방향_추천_순위와_근거_2026-09-02.md:124; 03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:164; 04_관련근접연구_claim_matrix_2026-09-02.md:236; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:361,
A03,3,True,핵심 주장·방법 대조,환자 위험·의료 생성 감사·공격·재식별,CheXGenBench,"CheXGenBench: A Unified Benchmark For Fidelity, Privacy and Utility of Synthetic Chest Radiographs",TMLR 2026 / arXiv 공개본,CXR 생성의 fidelity·privacy·utility 통합 평가. 단순 벤치마크 결합과의 차이 확인.,https://arxiv.org/abs/2505.10496,https://arxiv.org/pdf/2505.10496,PDF 응답 확인,16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:96; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:362,
A04,4,True,직접 방법·평가 비교군,환자 위험·의료 생성 감사·공격·재식별,DeepSSIM++,Auditing Patient Privacy in Medical Generative Models: Scalable Memorization Detection with DeepSSIM++,arXiv 2026-09,의료 생성물 near-copy 감사. 새 감사법의 독립 비교 대상.,https://arxiv.org/abs/2609.03615,https://arxiv.org/pdf/2609.03615,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:363,
A05,5,True,직접 방법·평가 비교군,환자 위험·의료 생성 감사·공격·재식별,Medical MIA split bias,Membership Inference or Data Split Bias? Identifying False Positives in Synthetic Medical Image Privacy Audits,MIE / Studies in Health Technology and Informatics 2026,분할 편향을 실제 membership 신호로 오인하는 문제. member-only 대조의 근거.,https://journals.sagepub.com/doi/10.3233/SHTI260258,https://pure-oai.bham.ac.uk/ws/portalfiles/portal/304478106/BaiL2026Membership.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:368,
A06,6,True,핵심 주장·방법 대조,환자 위험·의료 생성 감사·공격·재식별,FACE-AUDITOR,FACE-AUDITOR: Data Auditing in Facial Recognition Systems,USENIX Security 2023,개인 단위 데이터 감사. 환자별 여러 기록을 합친 공격 자체의 선행 경계.,https://www.usenix.org/conference/usenixsecurity23/presentation/chen-min,https://www.usenix.org/system/files/usenixsecurity23-chen-min.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:380,
A07,7,True,핵심 주장·방법 대조,환자 위험·의료 생성 감사·공격·재식별,User-level embedding MIA,User-Level Membership Inference Attack against Metric Embedding Learning,ICLR 2022 PAIR²Struct workshop,정확한 훈련 이미지 없이도 사용자 membership을 추론하는 선행.,https://iclr.cc/virtual/2022/7498,https://arxiv.org/pdf/2203.02077,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:379,
A08,8,True,직접 방법·평가 비교군,환자 위험·의료 생성 감사·공격·재식별,DIME,DIME: Query-Efficient Framework for Membership Inference on Diffusion Models,arXiv 2026-08,최근 diffusion MIA 기준선. 위협모델·질의 예산을 맞춰 비교해야 함.,https://arxiv.org/abs/2608.22824,https://arxiv.org/pdf/2608.22824,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:378,
A09,9,True,핵심 주장·방법 대조,환자 위험·의료 생성 감사·공격·재식별,Quantile-regression MIA,Membership Inference Attacks on Diffusion Models via Quantile Regression,ICML 2024,개별 표본의 공격 점수 보정. 환자 집합 보정과의 차이를 확인.,https://proceedings.mlr.press/v235/tang24g.html,https://raw.githubusercontent.com/mlresearch/v235/main/assets/tang24g/tang24g.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:375,
A10,10,True,직접 방법·평가 비교군,환자 위험·의료 생성 감사·공격·재식별,PIA / PIAN,An Efficient Membership Inference Attack for the Diffusion Model by Proximal Initialization,ICLR 2024,효율적인 diffusion membership 공격. 환자 집합 감사에 들어갈 이미지 단위 근거.,https://proceedings.iclr.cc/paper_files/paper/2024/file/ff73af253974e6144c4eddf896d3095a-Paper-Conference.pdf,https://proceedings.iclr.cc/paper_files/paper/2024/file/ff73af253974e6144c4eddf896d3095a-Paper-Conference.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:374,
A11,,True,직접 방법·평가 비교군,환자 위험·의료 생성 감사·공격·재식별,SecMI,Are Diffusion Models Vulnerable to Membership Inference Attacks?,ICML 2023,diffusion membership inference의 기초 공격 비교군.,https://proceedings.mlr.press/v202/duan23b.html,https://proceedings.mlr.press/v202/duan23b/duan23b.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:373,
A12,,True,직접 방법·평가 비교군,환자 위험·의료 생성 감사·공격·재식별,CLiD,Membership Inference on Text-to-Image Diffusion Models via Conditional Likelihood Discrepancy,NeurIPS 2024,조건부 likelihood 차이를 이용한 text-to-image MIA. 조건 접근권이 같은 경우 비교.,https://proceedings.neurips.cc/paper_files/paper/2024/hash/874411a224a1934b80d499068384808b-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/874411a224a1934b80d499068384808b-Paper-Conference.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:376,
A13,,True,직접 방법·평가 비교군,환자 위험·의료 생성 감사·공격·재식별,Black-box diffusion MIA,Towards Black-Box Membership Inference Attack for Diffusion Models,ICML 2025,black-box 접근조건의 공격 비교군. white-box 결과와 구분.,https://proceedings.mlr.press/v267/li25k.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/li25k/li25k.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:377,
A14,,True,직접 방법·평가 비교군,환자 위험·의료 생성 감사·공격·재식별,Carlini / Training-data extraction,Extracting Training Data from Diffusion Models,USENIX Security 2023,훈련 이미지 추출. membership 추론·유사도·실제 복제의 차이 확인.,https://www.usenix.org/conference/usenixsecurity23/presentation/carlini,https://www.usenix.org/system/files/usenixsecurity23-carlini.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:372,
A15,15,True,직접 방법·평가 비교군,환자 위험·의료 생성 감사·공격·재식별,MaMI / All-in-One MedReID,Towards All-in-One Medical Image Re-Identification,CVPR 2025,의료영상 재식별. 환자 identity 신호와 평가 encoder의 직접 선행.,https://openaccess.thecvf.com/content/CVPR2025/html/Tian_Towards_All-in-One_Medical_Image_Re-Identification_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Tian_Towards_All-in-One_Medical_Image_Re-Identification_CVPR_2025_paper.pdf,PDF 응답 확인,10_CVPR_reset_관련근접연구_새방향_2026-09-03.md:71; 16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:44; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:341,
A18,,True,직접 방법·평가 비교군,환자 위험·의료 생성 감사·공격·재식별,InvMM,An Inversion-based Measure of Memorization for Diffusion Models,ICCV 2025,inversion 기반 diffusion memorization 척도. 별도 관점의 감사 비교.,https://openaccess.thecvf.com/content/ICCV2025/html/Ma_An_Inversion-based_Measure_of_Memorization_for_Diffusion_Models_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Ma_An_Inversion-based_Measure_of_Memorization_for_Diffusion_Models_ICCV_2025_paper.pdf,PDF 응답 확인,18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:343,
A19,,True,기반·확장 관련 문헌,환자 위험·의료 생성 감사·공격·재식별,Dombrowski / Privacy and fairness,Can Diffusion Models Generalize? Privacy and Fairness Trade-offs for Medical Data Sharing.,MIDL 2026,의료 합성 데이터의 일반화·프라이버시·공정성 평가.,https://proceedings.mlr.press/v301/dombrowski26a.html,https://raw.githubusercontent.com/mlresearch/v301/main/assets/dombrowski26a/dombrowski26a.pdf,PDF 응답 확인,03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:165; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:364,
A20,,True,기반·확장 관련 문헌,환자 위험·의료 생성 감사·공격·재식별,Medical LDM filtering,Privacy-Preserving Latent Diffusion-Based Synthetic Medical Image Generation,IEEE Transactions on Medical Imaging 2026,유사 생성물 filtering 기반 safeguard. formal DP와 구분.,https://pmc.ncbi.nlm.nih.gov/articles/PMC13034593/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13034593/pdf/nihms-2153980.pdf,브라우저 확인 필요,03_근접연구_재검증과_1순위_최종판단_2026-09-02.md:166; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:367,
A21,,True,기반·확장 관련 문헌,환자 위험·의료 생성 감사·공격·재식별,Patient-level diffusion unlearning,Patient-level Machine Unlearning in Latent Diffusion Models: On the Limits of the Privacy-Utility Trade-off,MIDL 2026 Short Paper Track,환자 단위 unlearning과 privacy·utility의 한계. 환자 영향 제거 자체의 선행.,https://openreview.net/pdf?id=x83b7ybcB1,https://openreview.net/pdf?id=x83b7ybcB1,브라우저 확인 필요,16_biometric_선행충돌과_patient_exposure_tail_결과_2026-09-03.md:45; 18_CVPR_SOTA_전수대조와_투고가능성_판정_2026-09-08.md:365,제목·short-paper 표기는 공개 PDF의 검색 인덱스로 확인; 직접 HTTP 요청은 403.
